Hora;Mes;Hidraul;Eolica;Demanda;Ciclocomb;Cogener;Nuclear;Carbon;Clases
18;1;2942.7;8889.8;29357;3167;3416.1;6042.6;7365;1
19;1;3500.5;8656.4;29792.6;3187;3425.5;6042.6;7371;1
20;1;4054.7;8404.3;30204.4;3187;3433.2;6042.6;7370.7;1
21;1;3929.8;8172.5;29943.3;3341;3439.1;6042.6;7384.6;1
22;1;3299.7;7602.5;27880.4;3044;3370.3;6043.6;7312;1
23;1;2613.2;7168.9;25388.9;2509.6;3084.9;6043.6;7252;1
0;1;2242.9;6685.2;22656.8;1331.1;3280.1;6043.8;6216;1
1;1;1517.8;6212.3;20508.1;987.9;3258;6043.8;5626.2;0
2;1;1439.2;5828;19361.7;941.1;3243.8;6043.8;4932.8;0
3;1;1423.7;5591.6;18551;921.3;3221.9;6043.8;4507.9;0
4;1;1412.7;5643.5;18233.3;1010.3;3223;6042.8;4063.1;0
5;1;1396.3;5914.6;18774.3;1160.3;3162.4;6042.8;4109.6;0
6;1;1865.9;6388.5;20838.2;1360.3;3243;6042.8;5064.2;0
7;1;2925.7;7041.8;25093.5;2986.4;3339.3;6042.8;5138;1
8;1;4300.9;7620.3;27976.2;3133.8;3456.7;6042.8;5138;1
9;1;4629;8188.6;28980;3149.2;3466.9;6042.8;5138;1
10;1;3895.4;9134.3;29493;3133.8;3458.4;6042.8;5218.9;1
11;1;2777.8;10322.8;29535.6;2993;3355.6;6042.8;5235;0
12;1;2484.3;11493.5;29126.7;949.6;3275.8;6042.8;5305;0
13;1;2165.2;12532.1;29694.5;922.6;3242.6;6042.8;5047.1;0
14;1;1873.3;13544.4;29113.6;984.2;3438.1;6042.8;4579;0
15;1;1710.1;14052.8;28440.1;984.2;3453;6042.8;4849.3;0
16;1;1692.2;14125.7;27822.9;968.8;3452.3;6042.8;4915.1;0
17;1;1711.2;14109.1;27714.4;968.8;3471.2;6042.8;5111.6;0
18;1;2260;14121.4;29307.8;968.8;3457.5;6042.8;5133.4;0
19;1;2579.5;14148;29978.5;1290.3;3394.5;6042.8;5245.8;0
20;1;2565.6;14382.3;30874.1;1321.1;3414.1;6043.8;5248;1
21;1;2252.9;14652.5;30848.3;1290.3;3417.7;6043.8;5248;0
